Date : 2025-12-18 12:59:06
Directory : c:\Users\ZETTA\Desktop\nzaKishFinala
Total : 276 files,  5600 codes, 647 comments, 559 blanks, all 6806 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\linux\runner\my_application.cc                                     | C++              |        -83 |        -21 |        -27 |       -131 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\linux\runner\my_application.h                                      | C++              |         -7 |         -7 |         -5 |        -19 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\macos\Flutter\GeneratedPluginRegistrant.swift                      | Swift            |        -12 |         -3 |         -4 |        -19 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\macos\RunnerTests\RunnerTests.swift                                | Swift            |         -7 |         -2 |         -4 |        -13 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\macos\Runner\AppDelegate.swift                                     | Swift            |        -11 |          0 |         -3 |        -14 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json      | JSON             |        -68 |          0 |         -1 |        -69 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\macos\Runner\Base.lproj\MainMenu.xib                               | XML              |       -343 |          0 |         -1 |       -344 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\macos\Runner\MainFlutterWindow.swift                               | Swift            |        -12 |          0 |         -4 |        -16 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\pubspec.yaml                                                       | YAML             |        -44 |         -5 |        -16 |        -65 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\test\widget_test.dart                                              | Dart             |        -14 |        -10 |         -7 |        -31 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\web\index.html                                                     | HTML             |        -19 |        -15 |         -5 |        -39 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\web\manifest.json                                                  | JSON             |        -35 |          0 |         -1 |        -36 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\website\Bod-logo(512x512)-White.svg                                | XML              |         -1 |          0 |          0 |         -1 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\website\Bod-logo(512x512).svg                                      | XML              |         -1 |          0 |          0 |         -1 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\website\index.html                                                 | HTML             |       -183 |          0 |        -28 |       -211 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\website\registerPage.html                                          | HTML             |       -390 |          0 |        -66 |       -456 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\windows\CMakeLists.txt                                             | CMake            |        -89 |          0 |        -20 |       -109 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\windows\flutter\CMakeLists.txt                                     | CMake            |        -98 |          0 |        -12 |       -110 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\windows\flutter\generated_plugin_registrant.cc                     | C++              |         -9 |         -4 |         -5 |        -18 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\windows\flutter\generated_plugin_registrant.h                      | C++              |         -5 |         -5 |         -6 |        -16 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\windows\flutter\generated_plugins.cmake                            | CMake            |        -20 |          0 |         -6 |        -26 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\windows\runner\CMakeLists.txt                                      | CMake            |        -34 |          0 |         -7 |        -41 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\windows\runner\flutter_window.cpp                                  | C++              |        -49 |         -7 |        -16 |        -72 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\windows\runner\flutter_window.h                                    | C++              |        -20 |         -5 |         -9 |        -34 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\windows\runner\main.cpp                                            | C++              |        -30 |         -4 |        -10 |        -44 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\windows\runner\resource.h                                          | C++              |         -9 |         -6 |         -2 |        -17 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\windows\runner\utils.cpp                                           | C++              |        -54 |         -2 |        -10 |        -66 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\windows\runner\utils.h                                             | C++              |         -8 |         -6 |         -6 |        -20 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\windows\runner\win32_window.cpp                                    | C++              |       -210 |        -24 |        -55 |       -289 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\windows\runner\win32_window.h                                      | C++              |        -48 |        -31 |        -24 |       -103 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\README.md                                                                    | Markdown         |         10 |          0 |          7 |         17 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\analysis_options.yaml                                                        | YAML             |          3 |         22 |          4 |         29 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\android\app\src\debug\AndroidManifest.xml                                    | XML              |          3 |          4 |          1 |          8 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\android\app\src\main\AndroidManifest.xml                                     | XML              |         39 |         11 |          2 |         52 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\android\app\src\main\res\drawable-v21\launch_background.xml                  | XML              |          9 |          0 |          1 |         10 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\android\app\src\main\res\drawable\android12splash.xml                        | XML              |         25 |          0 |          1 |         26 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\android\app\src\main\res\drawable\launch_background.xml                      | XML              |          9 |          0 |          1 |         10 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\android\app\src\main\res\values-night-v31\styles.xml                         | XML              |         15 |          7 |          1 |         23 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\android\app\src\main\res\values-night\styles.xml                             | XML              |         13 |          9 |          1 |         23 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\android\app\src\main\res\values-v31\styles.xml                               | XML              |         15 |          7 |          1 |         23 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\android\app\src\main\res\values\styles.xml                                   | XML              |         13 |          9 |          1 |         23 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\android\app\src\main\res\xml\network_security_config.xml                     | XML              |          9 |          0 |          1 |         10 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\android\app\src\profile\AndroidManifest.xml                                  | XML              |          3 |          4 |          1 |          8 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\android\build\reports\problems\problems-report.html                          | HTML             |        548 |          2 |        114 |        664 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\android\gradle.properties                                                    | Properties       |          3 |          0 |          1 |          4 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\android\gradle\wrapper\gradle-wrapper.properties                             | Properties       |          5 |          0 |          1 |          6 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\__init__.py                                                      | Python           |          0 |          0 |          1 |          1 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\cleanup\delete_expired_posts.py                                  | Python           |         31 |          3 |          9 |         43 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\db\database.py                                                   | Python           |         13 |          9 |          4 |         26 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\main.py                                                          | Python           |         38 |          1 |         11 |         50 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\requirements.txt                                                 | pip requirements |          8 |          0 |          1 |          9 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\routes\admin.py                                                  | Python           |        174 |         45 |         51 |        270 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\routes\authentication.py                                         | Python           |        373 |         38 |         93 |        504 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\routes\bookmark.py                                               | Python           |         31 |          0 |          8 |         39 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\routes\db_routes.py                                              | Python           |         15 |          0 |          3 |         18 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\routes\email.py                                                  | Python           |         35 |         26 |          9 |         70 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\routes\emailRequest.py                                           | Python           |        183 |        166 |         27 |        376 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\routes\forgetpass.py                                             | Python           |         54 |        205 |         19 |        278 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\routes\payment.py                                                | Python           |         55 |          0 |         13 |         68 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\routes\postadd.py                                                | Python           |         96 |          8 |         36 |        140 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\routes\postavailable.py                                          | Python           |         59 |         61 |         16 |        136 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\routes\posts.py                                                  | Python           |        129 |         36 |         12 |        177 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\routes\purches.py                                                | Python           |         39 |          0 |          6 |         45 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\routes\reklam.py                                                 | Python           |         69 |          4 |         19 |         92 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\routes\search.py                                                 | Python           |         45 |        233 |          9 |        287 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\routes\subscriptionActivate.py                                   | Python           |         49 |          5 |         11 |         65 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\routes\subscriptions.py                                          | Python           |         60 |         53 |         18 |        131 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\routes\users.py                                                  | Python           |         28 |          0 |          8 |         36 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\utils\bunny_upload.py                                            | Python           |         32 |          4 |         14 |         50 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\utils\email.py                                                   | Python           |         12 |          0 |          3 |         15 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\requirements.txt                                                     | pip requirements |        397 |          0 |          0 |        397 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\flutter_fib_api\cancel_payment.php                                           | PHP              |         26 |          0 |          5 |         31 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\flutter_fib_api\check_status.php                                             | PHP              |         25 |          0 |          5 |         30 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\flutter_fib_api\cheking.php                                                  | PHP              |          8 |          0 |          2 |         10 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\flutter_fib_api\connect.php                                                  | PHP              |          7 |          0 |         15 |         22 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\flutter_fib_api\create_payment.php                                           | PHP              |         52 |          2 |          9 |         63 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\flutter_fib_api\get_token.php                                                | PHP              |         24 |          1 |          6 |         31 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\flutter_fib_api\payment-callback.php                                         | PHP              |         13 |          2 |          4 |         19 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\flutter_fib_api\refund_payment.php                                           | PHP              |         26 |          0 |          5 |         31 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\flutter_fib_api\success.php                                                  | PHP              |        214 |          2 |         13 |        229 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\images\Bod-logo(512x512)-White.svg                                           | XML              |          1 |          0 |          0 |          1 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\ios\RunnerTests\RunnerTests.swift                                            | Swift            |          7 |          2 |          4 |         13 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\ios\Runner\AppDelegate.swift                                                 | Swift            |         12 |          0 |          2 |         14 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                  | JSON             |        122 |          0 |          1 |        123 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json           | JSON             |         21 |          0 |          1 |         22 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json                | JSON             |         23 |          0 |          1 |         24 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md                    | Markdown         |          3 |          0 |          2 |          5 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\ios\Runner\Base.lproj\LaunchScreen.storyboard                                | XML              |         43 |          1 |          1 |         45 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\ios\Runner\Base.lproj\Main.storyboard                                        | XML              |         25 |          1 |          1 |         27 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\ios\Runner\Runner-Bridging-Header.h                                          | C++              |          1 |          0 |          1 |          2 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\AboutUs.dart                                                             | Dart             |        167 |        204 |          8 |        379 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\ContactUs.dart                                                           | Dart             |        212 |          0 |          7 |        219 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\EditProfile.dart                                                         | Dart             |        400 |         77 |         32 |        509 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\EditProfileInfoForOffice.dart                                            | Dart             |        424 |         12 |         30 |        466 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\HomePage.dart                                                            | Dart             |      1,725 |         42 |         59 |      1,826 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\OfficePostShow.dart                                                      | Dart             |        753 |          0 |         19 |        772 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\Office_Profile.dart                                                      | Dart             |        809 |          9 |         36 |        854 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\OfficialProfileSetting.dart                                              | Dart             |        847 |          1 |         37 |        885 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\Plans.dart                                                               | Dart             |        204 |          8 |         21 |        233 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\PrivacyPolicy.dart                                                       | Dart             |        135 |          3 |          9 |        147 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\SignUpUser.dart                                                          | Dart             |        501 |          1 |         21 |        523 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\UserHomePage.dart                                                        | Dart             |      2,403 |         53 |         67 |      2,523 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\app_theme.dart                                                           | Dart             |         69 |          0 |          8 |         77 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\askForLogin.dart                                                         | Dart             |        227 |          3 |          7 |        237 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\backend\available.dart                                                   | Dart             |         48 |          6 |         10 |         64 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\backend\bookmark.dart                                                    | Dart             |         31 |          0 |          7 |         38 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\backend\email.dart                                                       | Dart             |         27 |          0 |          5 |         32 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\backend\emailRequest.dart                                                | Dart             |         36 |          0 |          6 |         42 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\backend\forgetpass.dart                                                  | Dart             |         17 |          0 |          5 |         22 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\backend\get_post.dart                                                    | Dart             |        223 |          6 |         15 |        244 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\backend\get_user.dart                                                    | Dart             |         56 |          1 |          9 |         66 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\backend\login.dart                                                       | Dart             |         71 |          2 |         13 |         86 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\backend\payment.dart                                                     | Dart             |         52 |          9 |         10 |         71 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\backend\picRequest.dart                                                  | Dart             |         15 |          1 |          4 |         20 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\backend\postadd.dart                                                     | Dart             |         51 |          8 |          8 |         67 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\backend\purches.dart                                                     | Dart             |         75 |          0 |          8 |         83 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\backend\register.dart                                                    | Dart             |         73 |          2 |         14 |         89 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\backend\reklam.dart                                                      | Dart             |         14 |          0 |          3 |         17 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\backend\search.dart                                                      | Dart             |        160 |          6 |         33 |        199 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\backend\subscriptionActivate.dart                                        | Dart             |          0 |          7 |          2 |          9 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\backend\userinfo.dart                                                    | Dart             |         63 |          4 |         18 |         85 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\flutter_notification.dart                                                | Dart             |         88 |          0 |         14 |        102 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\generated\intl\messages_all.dart                                         | Dart             |         61 |         10 |         10 |         81 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\generated\intl\messages_ar.dart                                          | Dart             |        454 |         10 |          7 |        471 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\generated\intl\messages_en.dart                                          | Dart             |        509 |         10 |          7 |        526 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\generated\intl\messages_ps.dart                                          | Dart             |        482 |         10 |          7 |        499 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\generated\intl\messages_ur.dart                                          | Dart             |        481 |         10 |          7 |        498 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\generated\l10n.dart                                                      | Dart             |      1,682 |        266 |        273 |      2,221 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\global.dart                                                              | Dart             |         60 |          0 |         11 |         71 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\ifAqarOffice.dart                                                        | Dart             |        186 |         10 |          7 |        203 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\l10n\intl_ar.arb                                                         | JSON             |        248 |          0 |          6 |        254 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\l10n\intl_en.arb                                                         | JSON             |        260 |          0 |         29 |        289 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\l10n\intl_ps.arb                                                         | JSON             |        249 |          0 |          5 |        254 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\l10n\intl_ur.arb                                                         | JSON             |        246 |          0 |         16 |        262 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\login.dart                                                               | Dart             |        537 |          4 |         24 |        565 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\main.dart                                                                | Dart             |        202 |          0 |         13 |        215 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\map.dart                                                                 | Dart             |        126 |          0 |         11 |        137 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\navigation.dart                                                          | Dart             |          2 |          0 |          2 |          4 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\officeAccountInfo.dart                                                   | Dart             |        407 |          0 |         18 |        425 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\officeHomePage.dart                                                      | Dart             |      3,579 |        139 |        105 |      3,823 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\officeLogin.dart                                                         | Dart             |        299 |          0 |          8 |        307 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\postsDetail.dart                                                         | Dart             |        776 |          2 |         18 |        796 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\requestPicture.dart                                                      | Dart             |        364 |          1 |         19 |        384 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\search_page.dart                                                         | Dart             |        846 |         77 |         54 |        977 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\subscriptionState.dart                                                   | Dart             |        492 |          0 |         26 |        518 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\subscription_pageOne.dart                                                | Dart             |        752 |         10 |         68 |        830 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\theme_settings_page.dart                                                 | Dart             |         70 |          0 |          6 |         76 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\lib\warningLogOutPage.dart                                                   | Dart             |        164 |          0 |          3 |        167 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\linux\CMakeLists.txt                                                         | CMake            |        104 |          0 |         25 |        129 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\linux\flutter\CMakeLists.txt                                                 | CMake            |         79 |          0 |         10 |         89 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\linux\flutter\generated_plugin_registrant.cc                                 | C++              |         11 |          4 |          5 |         20 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\linux\flutter\generated_plugin_registrant.h                                  | C++              |          5 |          5 |          6 |         16 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\linux\flutter\generated_plugins.cmake                                        | CMake            |         20 |          0 |          6 |         26 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\linux\runner\CMakeLists.txt                                                  | CMake            |         21 |          0 |          6 |         27 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\linux\runner\main.cc                                                         | C++              |          5 |          0 |          2 |          7 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\linux\runner\my_application.cc                                               | C++              |         83 |         21 |         27 |        131 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\linux\runner\my_application.h                                                | C++              |          7 |          7 |          5 |         19 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\macos\Flutter\GeneratedPluginRegistrant.swift                                | Swift            |         14 |          3 |          4 |         21 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\macos\RunnerTests\RunnerTests.swift                                          | Swift            |          7 |          2 |          4 |         13 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\macos\Runner\AppDelegate.swift                                               | Swift            |         11 |          0 |          3 |         14 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                | JSON             |         68 |          0 |          1 |         69 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\macos\Runner\Base.lproj\MainMenu.xib                                         | XML              |        343 |          0 |          1 |        344 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\macos\Runner\MainFlutterWindow.swift                                         | Swift            |         12 |          0 |          4 |         16 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\pubspec.yaml                                                                 | YAML             |         43 |          4 |         17 |         64 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\test\widget_test.dart                                                        | Dart             |         14 |         10 |          7 |         31 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\web\index.html                                                               | HTML             |         19 |         15 |          5 |         39 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\web\manifest.json                                                            | JSON             |         35 |          0 |          1 |         36 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\website\import_Reklam_image.html                                             | HTML             |        209 |          0 |         24 |        233 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\windows\CMakeLists.txt                                                       | CMake            |         89 |          0 |         20 |        109 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\windows\flutter\CMakeLists.txt                                               | CMake            |         98 |          0 |         12 |        110 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\windows\flutter\generated_plugin_registrant.cc                               | C++              |          9 |          4 |          5 |         18 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\windows\flutter\generated_plugin_registrant.h                                | C++              |          5 |          5 |          6 |         16 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\windows\flutter\generated_plugins.cmake                                      | CMake            |         20 |          0 |          6 |         26 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\windows\runner\CMakeLists.txt                                                | CMake            |         34 |          0 |          7 |         41 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\windows\runner\flutter_window.cpp                                            | C++              |         49 |          7 |         16 |         72 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\windows\runner\flutter_window.h                                              | C++              |         20 |          5 |          9 |         34 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\windows\runner\main.cpp                                                      | C++              |         30 |          4 |         10 |         44 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\windows\runner\resource.h                                                    | C++              |          9 |          6 |          2 |         17 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\windows\runner\utils.cpp                                                     | C++              |         54 |          2 |         10 |         66 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\windows\runner\utils.h                                                       | C++              |          8 |          6 |          6 |         20 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\windows\runner\win32_window.cpp                                              | C++              |        210 |         24 |         55 |        289 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\windows\runner\win32_window.h                                                | C++              |         48 |         31 |         24 |        103 |
| Total                                                                                                             |                  |      5,600 |        647 |        559 |      6,806 |
+-------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
